_id,"name,symbol"
6935ba6ebb409f53d35d53bf,"Nepalese Rupee,₨"
6935ba6ebb409f53d35d53c0,"New Zealand Dollar,$"
6935ba6ebb409f53d35d53c1,"Rial Omani,ر.ع."
6935ba6ebb409f53d35d53c2,"Balboa,B/."
6935ba6ebb409f53d35d53c3,"Sol,S/"
6935ba6ebb409f53d35d53c4,"Kina,K"
6935ba6ebb409f53d35d53c5,"Philippine Peso,₱"
6935ba6ebb409f53d35d53c6,"Pakistan Rupee,₨"
6935ba6ebb409f53d35d53c7,"Zloty,zł"
6935ba6ebb409f53d35d53c8,"Guarani,₲"
6935ba6ebb409f53d35d53c9,"Qatari Rial,ر.ق"
6935ba6ebb409f53d35d53ca,"New Romanian Leu,Lei"
6935ba6ebb409f53d35d53cb,"Serbian Dinar,РСД"
6935ba6ebb409f53d35d53cc,"Russian Ruble,₽"
6935ba6ebb409f53d35d53cd,"Rwanda Franc,FRw"
6935ba6ebb409f53d35d53ce,"Saudi Riyal,ر.س"
6935ba6ebb409f53d35d53cf,"Solomon Islands Dollar,$"
6935ba6ebb409f53d35d53d0,"Seychelles Rupee,₨"
6935ba6ebb409f53d35d53d1,"Sudanese Pound,£"
6935ba6ebb409f53d35d53d2,"Swedish Krona,kr"
6935ba6ebb409f53d35d53d3,"Singapore Dollar,$"
6935ba6ebb409f53d35d53d4,"Saint Helena Pound,£"
6935ba6ebb409f53d35d53d5,"Leone,Le"
6935ba6ebb409f53d35d53d6,"Somali Shilling,Sh"
6935ba6ebb409f53d35d53d7,"Surinam Dollar,$"
6935ba6ebb409f53d35d53d8,"South Sudanese Pound,£"
6935ba6ebb409f53d35d53d9,"Dobra,Db"
6935ba6ebb409f53d35d53da,"El Salvador Colon,₡"
6935ba6ebb409f53d35d53db,"Syrian Pound,£S"
6935ba6ebb409f53d35d53dc,"Lilangeni,E"
6935ba6ebb409f53d35d53dd,"Baht,฿"
6935ba6ebb409f53d35d53de,"Somoni,ЅМ"
6935ba6ebb409f53d35d53df,"Turkmenistan New Manat,T"
6935ba6ebb409f53d35d53e0,"Tunisian Dinar,د.ت"
6935ba6ebb409f53d35d53e1,"Pa’anga,T$"
6935ba6ebb409f53d35d53e2,"Turkish Lira,₺"
6935ba6ebb409f53d35d53e3,"Trinidad and Tobago Dollar,$"
6935ba6ebb409f53d35d53e4,"New Taiwan Dollar,$"
6935ba6ebb409f53d35d53e5,"Tanzanian Shilling,Sh"
6935ba6ebb409f53d35d53e6,"Hryvnia,₴"
