_id,Institution,GoogleMaps
6930a7d8f59660bdbf649aed,Universidade do Porto - Faculdade de Arquitetura,http://maps.google.pt/maps?z=20&t=k&q=loc:41.14992+-8.63601
6930a7d8f59660bdbf649aee,Escola Superior Artística do Porto,NaN
6930a7d8f59660bdbf649aef,Instituto Superior Manuel Teixeira Gomes,http://maps.google.pt/maps?z=20&t=k&q=loc:37.14078+-8.535942
6930a7d8f59660bdbf649af0,Universidade Autónoma de Lisboa Luís de Camões,http://maps.google.pt/maps?z=20&t=k&q=loc:38.72433+-9.14589
6930a7d8f59660bdbf649af1,Universidade Fernando Pessoa,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17292+-8.611185
6930a7d8f59660bdbf649af2,Universidade Lusíada - Centro Universitário Lusíada - Lisboa,http://maps.google.pt/maps?z=20&t=k&q=loc:38.69799+-9.192036
6930a7d8f59660bdbf649af3,Universidade Lusíada - Centro Universitário Lusíada - Norte - Porto,http://maps.google.pt/maps?z=20&t=k&q=loc:41.1687+-8.661802
6930a7d8f59660bdbf649af4,Universidade Lusíada - Centro Universitário Lusíada - Norte - Vila Nova de Famalicão,http://maps.google.pt/maps?z=20&t=k&q=loc:41.41021+-8.522896
6930a7d8f59660bdbf649af5,Universidade de Lisboa - Instituto Superior de Agronomia,http://maps.google.pt/maps?z=20&t=k&q=loc:38.70623+-9.182634
6930a7d8f59660bdbf649af6,Universidade do Porto - Faculdade de Ciências,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15242+-8.637816
6930a7d8f59660bdbf649af7,Universidade Portucalense Infante D. Henrique,http://maps.google.pt/maps?z=20&t=k&q=loc:41.18032+-8.605047
6930a7d8f59660bdbf649af8,Universidade Católica Portuguesa - Escola das Artes,NaN
6930a7d8f59660bdbf649af9,Universidade de Lisboa - Faculdade de Belas-Artes,http://maps.google.pt/maps?z=20&t=k&q=loc:38.70903+-9.156942
6930a7d8f59660bdbf649afa,Universidade da Maia,http://maps.google.pt/maps?z=20&t=k&q=loc:41.26779+-8.617047
6930a7d8f59660bdbf649afb,Instituto Politécnico de Viana do Castelo - Escola Superior de Educação,http://maps.google.pt/maps?z=20&t=k&q=loc:41.70303+-8.820739
6930a7d8f59660bdbf649afc,Escola Superior de Artes e Design,http://maps.google.pt/maps?z=20&t=k&q=loc:41.18464+-8.662266
6930a7d8f59660bdbf649afd,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,http://maps.google.pt/maps?z=20&t=k&q=loc:40.66005+-7.913927
6930a7d8f59660bdbf649afe,Universidade do Porto - Faculdade de Belas-Artes,http://maps.google.pt/maps?z=20&t=k&q=loc:41.14566+-8.600771
6930a7d8f59660bdbf649aff,Instituto Politécnico de Leiria - Escola Superior de Artes e Design,http://maps.google.pt/maps?z=20&t=k&q=loc:39.39528+-9.135278
6930a7d8f59660bdbf649b00,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
6930a7d8f59660bdbf649b01,Universidade da Madeira - Faculdade de Artes e Humanidades,http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251
6930a7d8f59660bdbf649b02,Instituto Politécnico do Porto - Escola Superior de Educação,http://maps.google.pt/maps?z=20&t=k&q=loc:41.1799+-8.598137
6930a7d8f59660bdbf649b03,Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra,http://maps.google.pt/maps?z=20&t=k&q=loc:42.12346+-8.27082
6930a7d8f59660bdbf649b04,Instituto Politécnico do Porto - Instituto Superior de Contabilidade e Administração do Porto,http://maps.google.pt/maps?z=20&t=k&q=loc:41.18986+-8.598206
6930a7d8f59660bdbf649b05,Instituto Politécnico de Santarém - Escola Superior de Desporto de Rio Maior,http://maps.google.pt/maps?z=20&t=k&q=loc:39.345+-8.933
6930a7d8f59660bdbf649b06,Instituto Superior de Ciências Educativas do Douro,http://maps.google.pt/maps?z=20&t=k&q=loc:41.12039+-8.172403
6930a7d8f59660bdbf649b07,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,http://maps.google.pt/maps?z=20&t=k&q=loc:40.19915+-8.461344
6930a7d8f59660bdbf649b08,Instituto Politécnico do Porto - Escola Superior de Saúde,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17779+-8.60693
6930a7d8f59660bdbf649b09,Instituto Politécnico de Beja - Escola Superior de Educação,http://maps.google.pt/maps?z=20&t=k&q=loc:38.01385+-7.874671
6930a7d8f59660bdbf649b0a,Instituto Politécnico de Lisboa - Escola Superior de Comunicação Social,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74665+-9.19476
6930a7d8f59660bdbf649b0b,Instituto Politécnico da Lusofonia - Escola Superior de Engenharia e Tecnologias,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74674+-9.100184
6930a7d8f59660bdbf649b0c,"Universidade de Aveiro - Escola Superior de Design, Gestão e Tecnologia da Produção de Aveiro-Norte",http://maps.google.pt/maps?z=20&t=k&q=loc:40.86214+-8.476327
6930a7d8f59660bdbf649b0d,Universidade do Porto - Faculdade de Engenharia,http://maps.google.pt/maps?z=20&t=k&q=loc:41.1781+-8.598157
6930a7d8f59660bdbf649b0e,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986
6930a7d8f59660bdbf649b0f,Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra,http://maps.google.pt/maps?z=20&t=k&q=loc:40.1929+-8.412338
6930a7d8f59660bdbf649b10,Universidade Católica Portuguesa - Escola Superior de Biotecnologia,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15398+-8.673013
6930a7d8f59660bdbf649b11,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro,http://maps.google.pt/maps?z=20&t=k&q=loc:38.65239+-9.04896
6930a7d8f59660bdbf649b12,Universidade dos Açores - Faculdade de Ciências e Tecnologia,http://maps.google.pt/maps?z=20&t=k&q=loc:37.74605+-25.66378
6930a7d8f59660bdbf649b13,Universidade de Lisboa - Faculdade de Ciências,http://maps.google.pt/maps?z=20&t=k&q=loc:38.75676+-9.155387
6930a7d8f59660bdbf649b14,Universidade da Madeira - Faculdade de Ciências da Vida,http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251
6930a7d8f59660bdbf649b15,"ISPA - Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",http://maps.google.pt/maps?z=20&t=k&q=loc:38.71216+-9.125942
6930a7d8f59660bdbf649b16,Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança,http://maps.google.pt/maps?z=20&t=k&q=loc:41.79774+-6.767192
6930a7d8f59660bdbf649b17,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,http://maps.google.pt/maps?z=20&t=k&q=loc:38.66165+-9.206682
6930a7d8f59660bdbf649b18,Universidade de Coimbra - Faculdade de Ciências e Tecnologia (Campus Figueira da Foz),http://maps.google.pt/maps?z=20&t=k&q=loc:40.1528+-8.858626
6930a7d8f59660bdbf649b19,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251
6930a7d8f59660bdbf649b1a,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17834+-8.606863
6930a7d8f59660bdbf649b1b,Instituto Politécnico de Viseu - Escola Superior Agrária de Viseu,http://maps.google.pt/maps?z=20&t=k&q=loc:40.64135+-7.910146
6930a7d8f59660bdbf649b1c,Instituto Politécnico da Guarda - Escola Superior de Saúde da Guarda,http://maps.google.pt/maps?z=20&t=k&q=loc:40.52968+-7.276771
6930a7d8f59660bdbf649b1d,Escola Superior de Saúde da Cruz Vermelha Portuguesa - Lisboa,http://maps.google.pt/maps?z=20&t=k&q=loc:38.71442+-9.176041
6930a7d8f59660bdbf649b1e,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986
6930a7d8f59660bdbf649b1f,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,http://maps.google.pt/maps?z=20&t=k&q=loc:38.73236+-9.160044
6930a7d8f59660bdbf649b20,Universidade Católica Portuguesa - Faculdade de Filosofia e Ciências Sociais,NaN
6930a7d8f59660bdbf649b21,Instituto Politécnico da Guarda - Escola Superior de Tecnologia e Gestão,http://maps.google.pt/maps?z=20&t=k&q=loc:40.54139+-7.28329
6930a7d8f59660bdbf649b22,Universidade Católica Portuguesa - Instituto de Estudos Políticos,NaN
6930a7d8f59660bdbf649b23,ISEC Lisboa - Instituto Superior de Educação e Ciências,http://maps.google.pt/maps?z=20&t=k&q=loc:38.76894+-9.15895
6930a7d8f59660bdbf649b24,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,http://maps.google.pt/maps?z=20&t=k&q=loc:38.6585+-27.234
6930a7d8f59660bdbf649b25,Universidade de Coimbra - Faculdade de Farmácia,http://maps.google.pt/maps?z=20&t=k&q=loc:40.21968+-8.418132
6930a7d8f59660bdbf649b26,Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
6930a7d8f59660bdbf649b27,Instituto Universitário de Ciências da Saúde - CESPU,http://maps.google.pt/maps?z=20&t=k&q=loc:41.18351+-8.445928
6930a7d8f59660bdbf649b28,Instituto Universitário Egas Moniz,http://maps.google.pt/maps?z=20&t=k&q=loc:38.6669+-9.200091
6930a7d8f59660bdbf649b29,Universidade Católica Portuguesa - Faculdade de Medicina Dentária,http://maps.google.pt/maps?z=20&t=k&q=loc:40.6537+-7.9062
6930a7d8f59660bdbf649b2a,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,http://maps.google.pt/maps?z=20&t=k&q=loc:41.80336+-6.76559
6930a7d8f59660bdbf649b2b,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,http://maps.google.pt/maps?z=20&t=k&q=loc:39.82057+-7.51405
