Master Name,University,Location,Duration,Tuition Fee,About
Law and Management,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",1½ year,4133 EUR / year,The Master’s in Law and Management from Universidade Nova de Lisboa is a creation of a partnership bringing together Nova School of Business and Economics (Nova SBE) and NOVA School of Law (NOVA Law). 
Accounting,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",1½ year,4566 EUR / year,"The Accounting MSc programme graduates from ISEG - Lisbon School of Economics and Management can be a great jumpstart to your career as an accountant, auditor, consultant, or chief financial officer."
International Master's in Finance,Nova School of Business and Economics,"Carcavelos, Portugal",1½ year,8999 EUR / year,The International Master’s in Finance (IMF) from Nova School of Business and Economics is directed to Bachelor students who want to have an international career after their master’s program and ambition a fast career progression in the financial area. 
Law and Economics of the Sea – Ocean Governance,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,3100 EUR / year,"The Law and Economics of the Sea – Ocean Governance course at Universidade Nova de Lisboa is an interdisciplinary, unique and innovative program dedicated to the study of all issues related to ocean governance.  Since 2023/24 it is a partnership with NOVA School of Business and Economics. "
Management,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",1½ year,5200 EUR / year,"If you want to make a difference in the corporate world this Management M.I.M programme from ISEG - Lisbon School of Economics and Management, is the course to take."
Mathematical Finance,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,2875 EUR / year,This Mathematical Finance MSc programme from the ISEG - Lisbon School of Economics and Management provides a solid mathematical background and presents cutting-edge quantitative methodologies and computational techniques that are essential in the financial industry.
Erasmus Mundus Joint Master Programme Social Psychology of Transformation (SPOT),International Psychoanalytic University Berlin (IPU Berlin),Multiple locations,2 years,9600 EUR / year,The Erasmus Mundus Joint Master Programme Social Psychology of Transformation (SPOT) from International Psychoanalytic University Berlin (IPU Berlin) invites you on a two-year journey through Europe. We are excited to offer you a unique opportunity to study at several leading European universities. 
Finance,Nova School of Business and Economics,"Carcavelos, Portugal",1½ year,8999 EUR / year,"The Finance program at Nova School of Business and Economics will enable you to develop a solid knowledge, analytical and problem-solving competencies in the financial area. "
CEMS Master in International Management,Nova School of Business and Economics,"Carcavelos, Portugal",2 years,10 325 EUR / year,The CEMS Master in International Management at Nova School of Business and Economics provides multicultural and multilingual students with the skills to thrive in tomorrow’s business environment.
International Development and Public Policy,Nova School of Business and Economics,"Carcavelos, Portugal",1½ year,8099 EUR / year,"Decision-making is constantly a challenging process with a growing number of variables and expectations to be met in several fields, all directly impacting society. In this International Development and Public Policy programme at Nova School of Business and Economics, you will acquire the tools to prompt personal and organizational development both for public and non-governmental companies."
Economics,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,2875 EUR / year,"This Economics programme from ISEG - Lisbon School of Economics and Management builds up the perfect pathway for your career to move forward. Who knows, maybe it could help you land your dream job."
Social Law and Innovation,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,3100 EUR / year,"The Social Law and Innovation program from Universidade Nova de Lisboa - NOVA School of Law aims to provide law graduates with a balanced education in emerging areas of law, and to equip them with the necessary tools for a specialized career in a range of professional fields."
Data Analytics for Business,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",1½ year,4566 EUR / year,"This Data Analytics for Business MSc programme offered by ISEG - Lisbon School of Economics and Management is particularly relevant for quantitative methods enthusiasts since its main topics of interest are Data Science, Business Analytics and Information Systems."
European Master on Embedded Intelligence Nanosystems Engineering (EMINENT),University of Siegen,Multiple locations,2 years,Free,"The EMINENT master’s programme provides students with such a holistic education in embedded intelligence nanosystems engineering. It combines advanced training starting from the nanoscale material and device technology to the computing architectures of intelligent sensing elements, including the perspectives of macroscale integrated systems and meaningful IoT application areas.  "
Law and Security,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,2450 EUR / year,"Law and Security at Universidade Nova de Lisboa aims to provide in-depth knowledge of issues related to Security in many of its different domains: political, geostrategic, military, police, economic, legal, environmental, health, technological, among others, domains which are more than ever interconnected. "
International and European Law,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,3100 EUR / year,"The Master’s in International and European Law at Universidade Nova de Lisboa offers students the opportunity to expand their legal knowledge in an area that is becoming increasingly essential considering world globalization, in which national boundaries are losing importance.  "
Advanced Materials - Innovative Recycling (AMIR),EIT RawMaterials Academy,Multiple locations,2 years,2500 EUR / year,"The Advanced Materials - Innovative Recycling (AMIR) degree from EIT RawMaterials Academy is a world leading programme that explores the raw material value chain, particularly focusing on recycling."
Applied Econometrics and Forecasting,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,2550 EUR / year,"The Applied Econometrics and Forecasting MSc programme at ISEG - Lisbon School of Economics and Management aimed, above all, at those who intend to go beyond the boundaries of common knowledge."
Law and Financial Markets,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,3100 EUR / year,This Law and Financial Markets program from Universidade Nova de Lisboa is a product of an innovative partnership bringing together NOVA Information Management School (NOVA IMS) and NOVA School of Law (NOVA Law). 
Sustainable Energy Systems,InnoEnergy Masters+,Multiple locations,2 years,19 000 EUR / year,"InnoEnergy Masters+ Master's in Sustainable Energy Systems equips you with the skills to tackle environmental challenges through innovative technical solutions. Beyond the technical aspects, you’ll delve into the vital roles of innovation, economics, and commerce, gaining a comprehensive understanding of the engineer’s responsibilities in a sustainable energy landscape."
Business Intelligence,NOVA IMS,"Lisbon, Portugal",1½ year,4000 EUR / year,"This Information Management Master, with a specialization in Business Intelligence, at Universidade Nova de Lisboa, is ranked, for the 6th time in a row, as the best Master's degree Program in Business Intelligence and Strategy in the World by Eduniversal, an international agency that publishes an annual ranking of the best MBA and Master degree programs in the world."
Human Resources Management and Organizational Consulting,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year,The MSc in Human Resources Management and Organizational Consulting from ISCTE - University Institute of Lisbon is a full-time programme designed to provide students with a truly transformative experience. 
Risk Management,NOVA IMS,"Lisbon, Portugal",1½ year,4000 EUR / year,"The Master's in Risk Management, at Universidade Nova de Lisboa, aims to train professionals and executives with the skills to address the challenges of identifying, assessing, and managing risk in the financial sector. This program evolved from the Risk Analysis and Management program, which is classified as the best Master's Degree in Risk Management in Portugal and the 2nd best in the World."
Accounting and Management Control,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year,"Embark on a transformative journey with the MSc in Accounting and Management Control at ISCTE - University Institute of Lisbon, tailored for forward-thinking students aspiring to play pivotal roles in the dynamic realm of accounting and finance. "
European Master of Science in Information Systems Management,NOVA IMS,"Lisbon, Portugal",2 years,4000 EUR / year,The European Master of Science in Information Systems Management from Universidade Nova de Lisboa and SEB LU aims at graduates willing to acquire additional information systems management skills to be applied in their professional field and intend to have a master's double degree diploma from two universities.
Data Analytics,NOVA IMS,"Lisbon, Portugal",1½ year,4000 EUR / year,"The Master's Program in Statistics and Information Management, with a specialization in Data Analytics, at Universidade Nova de Lisboa goes beyond traditional statistics, equipping students with the latest tools and techniques to thrive in the digital age. "
Management,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,5750 EUR / year,"The MSc in Management from ISCTE - University Institute of Lisbon is a full-time programme designed for students with a previous background in management-related areas (e.g. management, finance, accounting, marketing management, human resources management bachelors, etc.). "
Marketing,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year,"ISCTE - University Institute of Lisbon is well-known for offering the most highly rated, business-oriented MSc in Marketing in Portugal, with a clear international focus. Marketing at ISCTE Business School is designed for students with little or no work experience and will provide them with a highly advanced qualification, both theoretical and practical, that will boost their career prospects."
"Data Science and Advanced Analytics, with a specialization in Business Analytics",NOVA IMS,"Lisbon, Portugal",2 years,3100 EUR / year,"The Master's degree in Data Science and Advanced Analytics, with a specialization in Business Analytics, at Universidade Nova de Lisboa, is aimed at market oriented people, who want to apply effective analytical models to different business problems, interpreting the results and their implications to the business, with the objective of taking data driven decisions to optimize the business process."
Geospatial Technologies,NOVA IMS,"Lisbon, Portugal",11 months,3400 EUR / year,"The Geospatial Technologies master program from Universidade Nova de Lisboa is a cooperation between NOVA IMS, in Portugal, the Institute for Geoinformatics (IFGI) of the University of Münster (WWU), in Germany, and the Universitat Jaume I (UJI), in Spain"
Economics,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,2900 EUR / year,"The MSc in Economics at ISCTE - University Institute of Lisbon provides rigorous preparation for students who wish to advance to a PhD program. The Economics programme provides solid foundations in the core subjects (microeconomics, macroeconomics, and econometrics) and equips you with the tools of economic analysis."
