Master Name,University,Location,Duration,Tuition Fee,About
Human Resources Management,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year,The Human Resources Management at University of Minho is designed for both highly experienced professionals in the domain of human resources management and those who have recently completed a bachelor degree.
"Monetary, Banking and Financial Economics",University of Minho,"Braga, Portugal",1½ year,1250 EUR / year,"The Monetary, Banking and Financial Economics at University of Minho targets bachelor graduates in Economics, Management and other areas, from national or foreign universities, who wish to improve their understanding of monetary, banking and financial markets."
European Master in Archaeological Materials Science (ARCHMAT),Sapienza University of Rome,Multiple locations,2 years,,"Master in Archaeological Materials Science (ARCHMAT) is  jointly run by the Universidade de Évora (Portugal), Aristotle University of Thessaloniki (Greece), and Sapienza University of Rome (Italy), with a satellite network of Universities, Museums, Research Centres, CSOs, NGOs, and SMEs in Archaeometry sector, as associated partners.  WEBPAGE: www.erasmusmundus-archmat.uevora.pt "
Investment Strategy and Internationalisation,Business & Economics School,"Lisbon, Portugal",2 years,12 727 EUR / year,The Master’s Degree course in Investment Strategy and Internationalisation is an innovative course at Business & Economics School in the international panorama and has been designed for graduate degree holders of different areas who want advanced and in-depth knowledge of International Management.
Chemical Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The Master's Degree in Chemical Engineering from Instituto Superior Técnico is aimed at graduates in Engineering, namely those with curricular courses in Chemistry, Materials, Biochemistry, Environment, Industrial Management and related areas."
Management of Healthcare Units,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year,"The Management of Healthcare Units at University of Minho intends to equip health professionals with comprehensive management skills, enabling them to intervene more effectively in the context of health public or private organisations."
"Management - Strategy, Entrepreneurship and Impact",Catholic University of Portugal,"Lisbon, Portugal",1½ year,9800 EUR / year,"The MSc in Management - Strategy, Entrepreneurship and Impact at Catholic University of Portugal provides the practical and academic knowledge required for entrepreneurs and high-level careers in Strategy."
Materials Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year,"The Master's Degree in Materials Engineering (M.EMAT) offered by Faculty of Engineering, University of Porto is designed to train graduates for professional careers in any area of Materials Engineering."
Finance,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,5950 EUR / year,"The MSc in Finance at ISCTE - University Institute of Lisbon is a full-time, two-year programme (one year of classes and one year for the dissertation) that provides a highly advanced qualification in the finance field."
"Literature, Culture and Diversity",University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year,"The cycle of studies of the master's degree in Literature, Culture and Diversity from University of Madeira is comprised of 4 semesters (2 academic years), being the degree awarded to those who obtain 120 ECTS. "
Design,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year,A practical and collaborative master's program from University of Madeira that aims at Design as a creative agent in the changing world. change towards sustainability.
Communications Engineering and Data Science,Instituto Superior Técnico,"Lisbon, Portugal",2 years,8000 EUR / year,"The M.Sc. in Communications Engineering and Data Science is a two-year programme offered by Instituto Superior Técnico. This joint degree allows students to experience education across multiple European universities, enhancing their academic journey. The programme is designed to provide in-depth knowledge and skills in communications and data science."
Bioengineering Regenerative and Precision Medicine,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year,"Graduates in Bioengineering Regenerative and Precision Medicine at Instituto Superior Técnico combine aspects of genomics, genetics, nanomedicine, diagnosis, data science and information science to the development of new therapies, devices and systems to improve health care and, therefore, promote the development of society."
Industrial and Scientific Heritage,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year,"The aim of the Master in Industrial and Scientific Heritage program from Universidade Nova de Lisboa is to provide students with integrated skills in the areas of the social sciences and humanities, the conservation and restoration sciences and physical engineering, which will enable them to understand and act on industrial and scientific heritage."
Computer Science and Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year,"The Master’s in Computer Science and Engineering from Universidade Nova de Lisboa is imed at training Engineers qualified to intervene in the areas of Computer Science and Information Technologies, compatible with the Bologna principles."
Geological Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year,"The Master in Geological Engineering from Universidade Nova de Lisboa ims to train specialists able to apply engineering solutions, at surface or underground interventions, involving rock mass, soils, groundwater, georesources, and waste, contributing to the development of a sustainable society and adaptation to the climate change."
Regulation and Evaluation of Medicines and Health Products,University of Lisbon,"Lisbon, Portugal",2 years,4500 EUR / year,"This Regulation and Evaluation of Medicines and Health Products course from University of Lisbon aims to increase de knowledge on all the regulatory aspects, laws and directives, science based approaches on the Marketing authorisation in European Union for Medicinal Human Medicines and Veterinary Medicines."
Mechanical Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year,"The main objective of the Master of Science in Mechanical Engineering from Universidade Nova de Lisboa is to teach Engineers to: investigate, design, optimise, manufacture, implement, operate, maintain and manage several complex and high-added value mechanical and electromechanical systems. "
WAVES,University of Coimbra,"Coimbra, Portugal",2 years,1240 EUR / year,"The program WAVES (Waves, Acoustics, Vibrations, Engineering and Sound) from University of Coimbra is a two-year international Master course fully taught in English, awarding multiple national Master degrees and a Joint Diploma Supplement with the support of the Erasmus Mundus Program of the European Union."
Cybersecurity Management,Porto Business School,"Senhora da Hora, Portugal",1 year,7500 EUR / year,This Cybersecurity Management course from Porto Business School makes participants valuable assets for organizations.
"Modern Literatures, Arts and Cultures",University of Lisbon,"Lisbon, Portugal",2 years,1200 EUR / year,"This Modern Literatures, Arts and Cultures course from University of Lisbon intends to unify the postgraduate study of foreign literatures, arts and cultures."
Biostatistics,University of Lisbon,"Lisbon, Portugal",2 years,1060 EUR / year,The Master's in Biostatistics from University of Lisbon is intended to respond to the need for scientists in Biostatistics to support research at the highest level in the following areas of Health Sciences and Biology.
Management,School of Economics and Management - University of Porto,"Porto, Portugal",2 years,1500 EUR / year,"The Management programme from University of Porto trains its students to be active participants in a global world, offering their students the opportunity to gain international experience throughout the course."
Finance,School of Economics and Management - University of Porto,"Porto, Portugal",2 years,1500 EUR / year,"The Master in Finance at University of Porto is an international specialized pre-experience programme, totally taught in English, with contents that are recognized by the CFA Institute. "
Chemical Engineering,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year,"The degree of ""mestre"" (master) in Chemical Engineering at the Polytechnic Institute of Bragança belongs to the education and training area of Technologies. Graduates are specialized to develop a professional activity within the profile of the programme."
Energy Engineering and Management,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year,"The MSc in Energy Engineering and Management from Instituto Superior Técnico is intended for graduates in engineering-related areas, namely those with curricular paths in Energy, Electrical Engineering, Chemistry, Mechanics and related areas, but also for professionals in the energy sector."
Information Systems and Computer Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,7000 EUR / year,"The experts holding an MSc degree in Information Systems and Computer Engineering from Instituto Superior Técnico will be able to analyse, develop and implement complex information systems, in distributed and heterogeneous environments, in permanent technological mutation, which characterize the current information-based society. "
International Business,Polytechnic of Leiria,"Leiria, Portugal",2 years,1140 EUR / year,"The Master in International Business at Polytechnic of Leiria targets allowing graduate students to continue studying emphasizing international business, to improve their employability in firms and public organizations, as well as promoting the economy – namely in the international dimension – through foreign trade and foreign investment. "
Molecular Science and Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year,"The Molecular Science and Engineering programme from Instituto Superior Técnico is aimed at graduates in Chemistry, Chemical Engineering, Biochemistry, Materials and related fields."
Information Systems,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year,"The degree of ""mestre"" (master) in Information Systems at the Polytechnic Institute of Bragança belongs to the education and training area of Technologies. Graduates are specialized to develop a professional activity within the profile of the programme."
"English Language, Literature and Culture",University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Master's degree in English Language, Literature and Culture of the University of Minho offers a solid and multidisciplinary education about the Anglosphere."
"Intercultural Studies in Portuguese and Chinese - Translation, Education and Communication",University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"We offer a master degree in Intercultural Studies in Portuguese and Chinese - Translation, Education and Communication at University of Minho. The target audience of this Course is Portuguese bachelors in Chinese/Asian studies, with an official certificate of Chinese HSK IV, as well as Chinese students with a bachelor’s degree in Portuguese Studies, with a B2 level of Portuguese."
Food Science and Technology,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Food Science and Technology programme was created jointly by the University of Minho (UMinho), through the Department of Biological Engineering School of Engineering (DEB-EEUM) and the University of Porto (UP), through the Faculty of Sciences (FC-UP). "
Human Engineering,University of Minho,"Guimarães, Portugal",3 years,1250 EUR / year,"The techno-scientific field of Human Engineering at University of Minho, or human factors engineering, is now recognized as an important element of a modern and efficient industrial management. "
Product Engineering,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year,"The concept of MEPRO is innovative both in the structure and in the content. The course from University of Minho is structured in a backbone based on Integrated Laboratories (LI) over the semesters, where the activities of Product Engineering are developed based on projects."
Product Design,ESAD - College of Arts and Design,"Senhora da Hora, Portugal",2 years,5160 EUR / year,"The MA Product Design course at ESAD - College of Arts and Design engages real world challenges to educate the next generation of product design-thinkers, through advanced levels of creative discourse and technical abilities to create innovative products with contextual insight and empathy."
Psychology of Justice,Lusophone University of Humanities and Technologies,"Lisbon, Portugal",2 years,710 EUR / year,"At Psychology of Justice from Lusophone University of Humanities and Technologies main objective is training students on advanced skills of observation, evaluation and psychological intervention in the Psychology of Justice, specifically, with victims, offenders and groups at risk.  "
Applied Biochemistry,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Master´s Degree in Applied Biochemistry at University of Minho aims to form professionals with advanced knowledge in the area of Biochemistry and its applications. Biochemistry is an independent science and today has a vast range of applications, from the health sciences to industry including analytical methods. "
Health Sciences,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,The master in Health Sciences at University of Minho targets students with a previous background in sciences and has a duration of two years (120 ECTS) full-time. 
Quality in Analytical Laboratories,University of Algarve,"Faro, Portugal",2 years,4500 EUR / year,"Quality in Analytical Laboratories is a master course at University of Algarve for laboratory managers and scientists who wish to implement and manage Quality Systems in analytical laboratories, or work in Quality System environments in accredited analytical laboratories."
Special Education,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"This Special Education master degree at University of Minho provides basic training to carry out a course of 3rd cycle (PhD) in the same scientific area, or other areas."
Engineering and Quality Management,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year,The Master course in Engineering and Quality Management at University of Minho provides a range of solid and comprehensive training in an area of great importance to various sectors of activity that is not commonly covered by traditional university training. 
Political Economy,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,2500 EUR / year,The master in Political Economy at ISCTE - University Institute of Lisbon is distinguished by the particular attention it pays to the analysis of contemporary economic issues with a high social impact.
Aerospace Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The Integrated MSc programme in Aerospace Engineering from Instituto Superior Técnico is intended for graduates in areas related to Engineering, namely those with a background in Mechanics, Electronics and related areas."
Territorial Management and Urban Studies,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1200 EUR / year,"The Territorial Management and Urban Studies degree is a joint initiative of Instituto Superior Técnico, the Faculty of Architecture and the Institute of Geography and Spatial Planning (IGOT) of the University of Lisbon."
Chemistry,Universidade de Aveiro,"Aveiro, Portugal",2 years,1000 EUR / year,"This MSc course in Chemistry from Universidade de Aveiro  designed to provide graduates holding a Bachelor’s degree in Chemistry or related fields with a solid, multidisciplinary, and flexible education."
Physics,Universidade de Aveiro,"Aveiro, Portugal",2 years,1000 EUR / year,"The objective of this 2nd Cycle programme in Physics at Universidade de Aveiro is to provide high quality studies in advanced Physics topics in areas such as advanced quantum mechanics, quantum technologies, nanoscience and nanotechnology, optics and photonics, particle physics, etc."
Mechanical Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The MSc Programme in Mechanical Engineering at Instituto Superior Técnico is aimed at graduates in Engineering, namely Mechanics, Aerospace, Naval, Materials and related areas."
Business and Management,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year,"The Master in Business and Management at University of Minho offers a wide education in Management. It covers the full range of management disciplines: accounting, finance, marketing and strategy, operations management and human resource management. "
Computer Science and Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The MSc programme in Computer Science and Engineering from Instituto Superior Técnico is intended for graduates in areas associated with Engineering, namely those who have a background in Computing, Mathematics, Telecommunications and related areas."
International Studies,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,2500 EUR / year,"The Master in International Studies at the ISCTE - University Institute of Lisbon is organized according to a multidisciplinary perspective, integrating courses from International Relations, History, Economy, International Management, Sociology and Anthropology."
Management of Human Potential,Business & Economics School,"Lisbon, Portugal",2 years,12 727 EUR / year,"This Management of Human Potential program at Business & Economics School will give students the capacity to develop a global vision and integrated skills to manage human capital. In addition, they will be presented with a set of tools and techniques critical for the management and efficacious appraisal of personnel."
Bioinformatics,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,We offer a master degree in Bioinformatics at University of Minho. The sequencing process of the human genome constituted a very significant landmark in the history of science during the last century. 
Interior Design,ESAD - College of Arts and Design,"Senhora da Hora, Portugal",2 years,5160 EUR / year,The goal of the Master’s Degree in Interior Design at ESAD - College of Arts and Design is to develop project expertise in order to enable a response to the many expectations and desires of the designed spaces future users.
Judiciary Law (Procedural Law and Judicial Organization),University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"This Judiciary Law (Procedural Law and Judicial Organization) Master degree from University of Minho provides basic training to carry out a course of 3rd cycle (PhD) in the same scientific area, or other areas. "
Chemical Analysis and Characterisation Techniques,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"We offer a master degree in Chemical Analysis and Characterisation Techniques at University of Minho. Chemical analyses and characterisation techniques have an important role in the advance of science and technology in areas as diverse as food quality control, environment, research and in several industries, not only in the field of chemistry, but also in biochemistry and materials science."
Sciences of Language,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Sciences of Language at University of Minho aims to provide a solid background in General Linguistics and Portuguese Linguistics, thus acting as a complement to the 1st cycle of studies in Portuguese Studies or Modern Languages."
"Marine, Biodiversity, Fisheries and Conservation",University of Algarve,"Faro, Portugal",2 years,1100 EUR / year,"The Master in Marine, Biodiversity, Fisheries and Conservation, at University of Algarve, in partnership with the Algarve Centre of Marine Sciences (CCMAR), is the first professional master's degree in this area in Portugal. "
Biotechnology,University of Algarve,"Faro, Portugal",2 years,1100 EUR / year,"The Biotechnology MSc at the University of Algarve's Faculdade de Ciências e Tecnologia,  provides advanced level training in Biotechnology, Biological and Biochemical Engineering.      "
Hotel Management - Sales and Marketing (Evening Classes),Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year,"The Master Degree in Hotel Management - Sales and Marketing (Evening Classes) from Polytechnic of Porto has the main objective of providing training in hotel management so as to meet the present needs of the industry. It will do so based on applied research, which in turn will produce knowledge, solutions and applications for this area."
Entrepreneurship and Innovation,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year,Entrepreneurship and Innovation at the Polytechnic Institute of Bragança comprises the development of the technical-scientific knowledge and professional specialized skills in the study areas of Business Sciences
Science and Technology for the Cultural Heritage,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year,"The M.Sc. in Science and Technology for the Cultural Heritage at Instituto Superior Técnico is a two-year programme designed to equip students with the skills to preserve and analyse cultural heritage. This master's degree combines scientific principles with cultural studies, ensuring a comprehensive understanding of heritage preservation techniques."
Preschool and Primary School Education,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year,"This cycle of studies in Preschool and Primary School Education from University of Madeira has recently been reformulated based on the Decree-law 79/2014 of 14th of May and its main aim is to prepare students to practice in the teaching field (as a Primary School or kindergarten teacher), supported by the knowledge brought from the 1st cycle of studies in Basic Education (Undergraduate degree)."
Applied Mathematics and Computation,Instituto Superior Técnico,"Lisbon, Portugal",2 years,7000 EUR / year,"Applied Mathematics and Computation master degree at Instituto Superior Técnico models systems from different technological areas and develops mathematical solutions that help their study or optimization, putting them into practice with the help of computational tools."
Medical Microbiology,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,2500 EUR / year,The general objective of the Master in Medical Microbiology from Universidade Nova de Lisboa is to train students to become experts in the field. 
International Cybersecurity and Cyberintelligence,University of Minho,"Braga, Portugal",2 years,4000 EUR / year,"The International Cybersecurity and Cyberintelligence program from University of Minho offers specialised academic education in Cybersecurity, Cyberintelligence and International Relations and Law for Cybersecurity"
Applied Biology,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year,"This cycle of studies is in accordance with the guidelines of the European Education model, as agreed in Bologna. In order to obtain the title of Master of Applied Biology from University of Madeira, candidates must obtain 120 ECTS, which to full-time students corresponds to 4 semesters (2 academic years)."
"Humanitarian Action, Cooperation, and Development (E-learning)",University Fernando Pessoa,"Porto, Portugal",1½ year,,"The Humanitarian Action, Cooperation, and Development (E-learning) course from University Fernando Pessoa provides specialized skills and knowledge. Upon completing the program, you will gain a thorough understanding of regional, national, and international humanitarian issues that are happening in the world today."
Hotel Management,University of Madeira,"Funchal, Portugal",2 years,3000 EUR / year,"The study cycle aimed at obtaining a Master's degree in Hotel Management from University of Madeira comprises 4 semesters (2 academic years), with the degree being awarded to those who obtain 120 ECTS."
"Marine Living Resources - Science, Technology and Society",Universidade Nova de Lisboa,"Lisbon, Portugal",1½ year,1250 EUR / year,"The Master Marine Living Resources - Science, Technology and Society from Universidade Nova de Lisboa aims to deliver skilled professionals with a broad multi- and interdisciplinary view of fundamental and applied areas, namely those related to the ecological, technological, political and sociocultural aspects of the primary sector of the Blue Economy."
Resilience in Education,University of Lisbon,"Lisbon, Portugal",2 years,2400 EUR / year,The Resilience in Education master from University of Lisbon provides training to practitioners and educators in promoting and building resilience in educational contexts at various levels through a systemic and interdisciplinary approach.
Management and Industrial Strategy,University of Lisbon,"Lisbon, Portugal",2 years,4850 EUR / year,"The main goal of the Management and Industrial Strategy from University of Lisbon is to teach professional managers strategies for innovation, production, and operations in order to prepare them to face the organisational challenges of the new economy and the ensuing technological transformations. "
Applied Econometrics and Forecasting,University of Lisbon,"Lisbon, Portugal",2 years,3100 EUR / year,"The Masters in Applied Econometrics and Forecasting from University of Lisbon, created in 2002, is specifically designed for professionals who know the importance of always keeping up-to-date and recent graduates looking to acquire some technical expertise."
Data Science,University of Lisbon,"Lisbon, Portugal",2 years,1500 EUR / year,"The Master of Science in Data Science at the University of Lisbon is designed for students with a background in Science and Engineering. This programme spans four semesters, providing comprehensive training in data analysis and processing, preparing graduates for a growing demand in the data science field."
Accounting,University of Lisbon,"Lisbon, Portugal",1½ year,4850 EUR / year,"This Accounting Masters from University of Lisbon can be a great jumpstart to your career as an accountant, auditor, consultant, or chief financial officer."
Tech Leadership and Management,Porto Business School,"Senhora da Hora, Portugal",1 year,7500 EUR / year,Open new horizons for your career and organization in the digital world with the Tech Leadership and Management course from Porto Business School.
Mathematics,University of Lisbon,"Lisbon, Portugal",2 years,980 EUR / year,"The faculty at the Department of Mathematics at University of Lisbon has a large experience in in teaching and supervising postgraduate studies and is very active in research, in cooperation with the international-level research centres with which they are associated."
"Data Science, Business Analytics and AI",Porto Business School,"Senhora da Hora, Portugal",1 year,7500 EUR / year,"This Data Science, Business Analytics and AI course from Porto Business School empowers professionals with the fundamental skills in Data Science and Artificial Intelligence, enabling them to help their organizations become data-driven businesses"
