master,university,Location,Duration,Tuition Fee,about
Advanced Optometry,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The main goal of the Master Degree in Advanced Optometry at University of Minho is to provide a high level professional qualification in the field of Optometry, in order to allow the Optometrist to deal with the new challenges, responding to the demands of today's societies."
Mathematics and Computation,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Master Degree in Mathematics and Computation from University of Minho is a Mathematics 2nd cycle course with emphasis on computational solutions to mathematical problems and the application of those solutions in science and technology, including Computer Science."
Marine Engineering,Nautical School Infante D. Henrique,"Paço de Arcos, Portugal",2 years,2400 EUR / year,The management level includes Second Class Machines Officers and Machine Heads. ENIDH's Master in Marine Engineering at Nautical School Infante D. Henrique is essential for the training and certification of these officers.
European Union Law,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"This European Union Law Master degree at University of Minho provides basic training to carry out a course of 3rd cycle (PhD) in the same scientific area, or other areas."
Systems Engineering,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Master in Systems Engineering from University of Minho aims to promote the study of complex and large scale systems. Curricular units are organized in four coherent topics: Logistics, Industrial Informatics, Decision Technologies and Quality."
Marketing,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year,"ISCTE - University Institute of Lisbon is well-known for offering the most highly rated, business-oriented MSc in Marketing in Portugal, with a clear international focus. Our full time programme is designed for students with little or no work experience and will provide them with a highly advanced qualification, both theoretical and practical, that will boost their career prospects."
Industrial Engineering and Management,University of Porto,"Porto, Portugal",2 years,1500 EUR / year,"The general objective of the master's degree in Industrial Engineering and Management (M.EGI), from Faculty of Engineering, University of Porto, is to educate professionals who combine basic training in engineering with advanced training in the areas of industrial management."
Physics,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Physics at University of Minho provides complementary training to that acquired in a first cycle in Physics, Physical Engineering or similar."
"Health Biochemistry, Specialization in Applied Biochemistry",Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year,"The Master`s Degree in Health Biochemistry, Specialization in Applied Biochemistry from Polytechnic of Porto is aimed at the development of knowledge in Advanced Biochemistry, in order to boost the professional and academic progression of health practitioners."
International Management,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,7000 EUR / year,ISCTE - University Institute of Lisbon is one of the leading business schools in Portugal whose faculty members and research continue to appear at the forefront of investigation topics in International Management. 
Advanced Mineral Resources Development,University of Lisbon,"Lisbon, Portugal",2 years,1063 EUR / year,"The International Master of Science in Advanced Mineral Resources Development, a new Joint Degree Programme between Técnico (University of Lisbon) , University of Leoben (Montanuniversitaet Leoben) and University of Freiberg (TU Bergakademie Freiberg)."
Glass and Ceramic Art and Science,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year,The Master in Glass and Ceramic Art and Science from Universidade Nova de Lisboa creates an innovative program and the possibility of effective transdisciplinarity between fields related to art and science. 
Molecular and Translational Neuroscience,University of Coimbra,"Coimbra, Portugal",2 years,1500 EUR / year,"Molecular and Translational Neuroscience from University of Coimbra is to offer advanced training in the field of Neurosciences in the area of fundamental or basic (molecular and cellular) neurosciences, addressing the different aspects of neurobiology, neuroanatomy, neurophysiology and neuropsychology,"
"Health Biochemistry, Specialization in Clinical and Metabolic Biochemistry",Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year,"The Master`s Degree in Health Biochemistry, Specialization in Clinical and Metabolic Biochemistry at Polytechnic of Porto is aimed at the development of knowledge in Advanced Biochemistry, in order to boost the professional and academic progression of health practitioners."
Art Markets,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,3000 EUR / year,"This program, entirely taught in English at ISCTE - University Institute of Lisbon, aims to offer an academic specialization which fulfil the needs of the different organizations of the Art Markets. It seeks to develop students' skills of managing projects and investments, as well as of marketing, valuation and negotiation in the arts sector."
Management - Strategic Marketing,Catholic University of Portugal,"Lisbon, Portugal",1½ year,9800 EUR / year,There has never been a more exciting time to teach and work in marketing. This program in Management - Strategic Marketing at Catholic University of Portugal is for you if you want to always be at the forefront of value creation.
Mechanical Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year,"A mechanical engineer is a little bit of everything, he is the football player who defends, attacks and scores goals. Mechanical engineering covers all areas of engineering, allowing the mechanical engineer the perform function.   Master in Mechanical Engineering is offered at Faculty of Engineering, University of Porto."
Business and Contract Law,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,The Business and Contract Law at is offered at University of Minho.
Electrical and Computer Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year,"The Master's Degree in Electrical and Computer Engineering (M.EEC) - Faculty of Engineering, University of Porto - course provides advanced training to Engineering graduates in the field of design and development."
Biomedical Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year,"Students attending the Master in Biomedical Engineering from Universidade Nova de Lisboa are encouraged to develop projects, undertake internships in a clinical environment and find solutions to existing gaps in the healthcare sector."
Teaching Physical Education in Primary and Secondary Education,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year,The cycle of studies of the Master’s degree in Teaching Physical Education in Primary and Secondary Education from University of Madeira is comprised of 4 semesters (2 academic years). Those who obtain 120 ECTS are awarded the title.
Micro and Nanotechnology Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year,The Master degree in Micro and Nanotechnology Engineering from Universidade Nova de Lisboa aims to launch Masters into the labor market with a solid scientific background capable of helping companies to face the challenges of global competitiveness in the areas of Micro and Nanotechnologies.
Finance,University of Lisbon,"Lisbon, Portugal",2 years,5900 EUR / year,"With this Finance masters from University of Lisbon you can become a successful professional in the financial world, either with financial institutions or in the corporate sector, in any part of the world."
History and Philosophy of Science,University of Lisbon,"Lisbon, Portugal",2 years,1200 EUR / year,"This History and Philosophy of Science MSc program from University of Lisbon enables students to acquire a clear, broad and precise idea of the main themes, problems, debates and methodological trends that have been guiding the development of History of Science and of Philosophy of Science in an international context. "
Data Analytics for Business,University of Lisbon,"Lisbon, Portugal",1½ year,4850 EUR / year,"University of Lisbon's Masters in Data Analytics is particularly relevant for quantitative methods enthusiasts since its main topics of interest are Data Science, Business Analytics and Information Systems."
Monetary and Financial Economics,University of Lisbon,"Lisbon, Portugal",2 years,3750 EUR / year,"A master in Monetary and Financial Economics from University of Lisbon is prepared to work as an economist, financial analyst, researcher and teacher, senior staff member in financial institutions, central banks, international organisations, and public departments. "
Physics and Astrophysics,University of Lisbon,"Lisbon, Portugal",2 years,1060 EUR / year,The Master in Physics and Astrophysics from University of Lisbon aims to give advanced training and develop scientific research capacity in Physics. 
Economics,University of Lisbon,"Lisbon, Portugal",2 years,3750 EUR / year,"This Economics MSc from University of Lisbon prepares the students to pursue their careers as economists, researchers and teachers, high ranking staff in firms, banks, international organizations and public institutions."
Physical Activity and Sports,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year,"The main aim of this master’s degree in Physical Activity and Sports from University of Madeira is the development of skills and abilities that enable problem solving, while applying and deepening the knowledge acquired during the 1st cycle of studies, in the fields of physical activity and health, sport’s training, management of sports organizations, eco-tourism, leisure and recreation."
Global Online Master of Business Administration,Porto Business School,Online,"1 year, 5 months",26 500 EUR / year,This Global Online Master of Business Administration from Porto Business School offers a unique solution for those who want to lead companies focused on the future.
Cultural Management,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year,The cycle of studies of the master's degree in Cultural Management from University of Madeira is comprised of 4 semesters (2 academic years). Those who obtain 120 ECTS are awarded the title.
International Hospitality Management,SHG Universities,Multiple locations,2 years,8900 EUR / year,The International Hospitality Management course at SHG International Hospitality & Business Schools is one of the best MBA degree to become director in Hospitality. You will be trained in every department. 
International Master of Business Administration,Porto Business School,"Senhora da Hora, Portugal",11 months,30 000 EUR / year,This International Master of Business Administration course from Porto Business School is one of the best options for those looking to accelerate their professional and personal development.
International Business,Porto Business School,"Senhora da Hora, Portugal",1 year,7500 EUR / year,"This International Business course from Porto Business School is particularly geared towards practical application, benefits from continuous curriculum updates, and is subject to rigorous internal quality controls."
Education Sciences - Educational Administration,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year,The cycle of studies of the master's degree in Education Sciences - Educational Administration from University of Madeira is comprised of 4 semesters (2 academic years). Those who obtain 120 ECTS are awarded the title.
Electrical Engineering - Power Systems,Polytechnic of Porto,"Porto, Portugal",2 years,950 EUR / year,"The MSc in Electrical Engineering - Power Systems at the Polytechnic of Porto specializes engineers in intelligent energy, electrical grids automation, sustainable production technologies and high power installations design. The course follows international trends, devoting special attention to the challenges and opportunities of liberalized markets and such topics as electric mobility."
Management of Forest Resources,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year,"The degree of ""mestre"" (master) in Management of Forest Resources at the Polytechnic Institute of Bragança belongs to the education and training area of Agriculture Sciences and Natural Resources. Graduates are specialized to develop a professional activity within the profile of the programme."
Industrial Engineering and Management,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The Industrial Engineering and Management programme from Instituto Superior Técnico is intended for graduates in the area of Management and Engineering who wish to have strong foundations to pursue a career in production, logistics, marketing, information systems, strategy, finance and consultancy."
Electronics Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The Master in Electronics Engineering at Instituto Superior Técnico is intended for graduates in engineering-related areas, namely those with a background in Electronics, Telecommunications, Robotics, Control, and related fields."
