Master Name,University,Location,Duration,Tuition Fee
Management of Services and Technology,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year
Computer Vision,University of Porto,"Porto, Portugal",1½ year,1800 EUR / year
Business Analytics,Catholic University of Portugal,"Lisbon, Portugal",1½ year,9800 EUR / year
Communication Studies,Catholic University of Portugal,"Lisbon, Portugal",2 years,540 EUR / module
Business,Catholic University of Portugal,"Lisbon, Portugal",1½ year,9800 EUR / year
Bioengineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year
Mathematical Engineering (RealMaths Double MSc - Mathematics for Real-World Applications),University of L´Aquila,Multiple locations,2 years,4500 EUR / year
Chemical Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year
Informatics and Computing Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year
"Work, Organizational and Personnel Psychology",University of Coimbra,"Coimbra, Portugal",2 years,3500 EUR / year
Interior Design,Cascais School of Art and Design,"Cascais, Portugal",1 year,7150 EUR / year
Aerospace Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year
Engineering and Management of Innovation and Entrepreneurship,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1250 EUR / year
Education and Community Development,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
Education Sciences - Educational Administration,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
Digital Advanced Manufacturing Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Education Sciences - Pedagogical Innovation,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
Maritime Logistics,Universidade Nova de Lisboa,"Lisbon, Portugal",1 year,12 000 EUR / year
Medicinal and Biopharmaceutical Chemistry,University of Lisbon,"Lisbon, Portugal",2 years,1200 EUR / year
Pharmaceutical Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,2120 EUR / year
Electrical and Computer Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Actuarial Science,University of Lisbon,"Lisbon, Portugal",2 years,3500 EUR / year
Electrical Engineering - Power Systems,Polytechnic of Porto,"Porto, Portugal",2 years,950 EUR / year
Energy for Sustainability,University of Coimbra,"Coimbra, Portugal",1½ year,1600 EUR / year
Biotechnological Engineering,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year
Civil Engineering - Building Construction,Polytechnic of Leiria,"Leiria, Portugal",2 years,697 EUR / year
Electronics Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Industrial Engineering and Management,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Electrical and Electronic Engineering,Polytechnic of Leiria,"Leiria, Portugal",2 years,697 EUR / year
International Master in Applied Ecology,University of Coimbra,"Coimbra, Portugal",2 years,4500 EUR / year
Management,University of Lisbon,"Lisbon, Portugal",1½ year,5800 EUR / year
Management of Forest Resources,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year
Environmental Studies,Universidade de Aveiro,"Aveiro, Portugal",2 years,1000 EUR / year
Football Business,Football Business Academy,Multiple locations,1 year,32 286 EUR / year
Biomedical Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Law in a European and Global Context,Catholic University of Portugal,"Lisbon, Portugal",1 year,14 000 EUR / year
Radiation Protection and Safety,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year
Biotechnology and Innovation,Catholic University of Portugal,"Lisbon, Portugal",2 years,4590 EUR / year
Educational Sciences,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Economics,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year
Environment Sciences and Technologies,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Deck and Bridge Operations,Nautical School Infante D. Henrique,"Paço de Arcos, Portugal",2 years,2400 EUR / year
"Communication, Networks and Technology",Lusophone University of Humanities and Technologies,"Lisbon, Portugal",2 years,630 EUR / year
Chemical Innovation and Regulation (Erasmus Mundus),University of Algarve,"Faro, Portugal",2 years,4500 EUR / year
Structural Analysis of Monuments and Historical Construction,University of Minho,"Guimarães, Portugal",1 year,1250 EUR / year
Textile Chemistry,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year
Economics,Universidade de Aveiro,"Aveiro, Portugal",2 years,1000 EUR / year
Data Science and Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1250 EUR / year
Applied Gerontology,Universidade de Aveiro,"Aveiro, Portugal",1½ year,1000 EUR / year
Molecular Genetics,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Education,Universidade Nova de Lisboa,"Lisbon, Portugal",1½ year,1250 EUR / year
Bioorganic Chemistry,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Tourism Economics and Regional Development,University of Algarve,"Faro, Portugal",2 years,2200 EUR / year
Management,University of Algarve,"Faro, Portugal",2 years,1100 EUR / year
Marine Biology,University of Algarve,"Faro, Portugal",2 years,1100 EUR / year
Sustainable Energies,Polytechnic of Porto,"Porto, Portugal",2 years,950 EUR / year
Logistics (Evening Classes),Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year
Industrial and Firm Economics,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year
