Master Name,University,Location,Duration,Tuition Fee
Digital Marketing and Analytics,NOVA IMS,"Lisbon, Portugal",2 years,3000 EUR / year
Finance,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,5950 EUR / year
Digital Transformation,NOVA IMS,"Lisbon, Portugal",1½ year,4000 EUR / year
Geospatial Technologies,NOVA IMS,"Lisbon, Portugal",11 months,3400 EUR / year
Marketing Research and CRM,NOVA IMS,"Lisbon, Portugal",2 years,3000 EUR / year
"Management - Strategy, Entrepreneurship and Impact",Catholic University of Portugal,"Lisbon, Portugal",1½ year,9800 EUR / year
"Biodiversity, Genetics and Evolution",University of Porto,"Porto, Portugal",2 years,1430 EUR / year
Materials Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year
International Management,Catholic University of Portugal,"Lisbon, Portugal",1½ year,10 600 EUR / year
"Coastal Hazards - Risks, Climate Change Impacts and Adaption",University of Algarve,"Faro, Portugal",2 years,9000 EUR / year
Human Resources Management,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year
Bioengineering Regenerative and Precision Medicine,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year
Mechanical Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Design,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
"Literature, Culture and Diversity",University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
"Modern Literatures, Arts and Cultures",University of Lisbon,"Lisbon, Portugal",2 years,1200 EUR / year
Bioengineering and Nanosystems,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year
Mining and Geological Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Teaching English and Foreign Languages,University of Porto,"Porto, Portugal",2 years,697 EUR / year
Regulation and Evaluation of Medicines and Health Products,University of Lisbon,"Lisbon, Portugal",2 years,4500 EUR / year
KinoEyes -The European Film Masters,Lusophone University of Humanities and Technologies,"Lisbon, Portugal",2 years,7500 EUR / year
Master of Business Administration (Double Degree),Porto Business School,"Senhora da Hora, Portugal","1 year, 5 months",30 000 EUR / year
Sustainability Management,Porto Business School,"Senhora da Hora, Portugal",1 year,7500 EUR / year
Cybersecurity Management,Porto Business School,"Senhora da Hora, Portugal",1 year,7500 EUR / year
Industrial and Scientific Heritage,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
ReSound European Joint Masters,"Dún Laoghaire, Institute of Art, Design + Technology",Multiple locations,2 years,7500 EUR / year
WAVES,University of Coimbra,"Coimbra, Portugal",2 years,1240 EUR / year
Statistics,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year
Archaeology,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Engineering Project Management,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year
Translation and Multilingual Communication,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
History,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Information Systems,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year
Water and Coastal Management (Erasmus Mundus),University of Algarve,"Faro, Portugal",2 years,4000 EUR / year
Spanish Second Language and Foreign Language,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year
Micro and Nano Technologies,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year
"Child, Family and Inheritance Law",University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Investment Strategy and Internationalisation,Business & Economics School,"Lisbon, Portugal",2 years,12 727 EUR / year
Biochemistry for Health,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1100 EUR / year
Law in a Digital Economy,Catholic University of Portugal,"Lisbon, Portugal",1 year,14 000 EUR / year
Engineering Physics,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Chemical Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Materials Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
International Master in Mining Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,7000 EUR / year
Finance,Catholic University of Portugal,"Lisbon, Portugal",1 year,12 450 EUR / year
Joint Master Programme in Tribology of Surfaces and Interfaces,University of Coimbra,"Coimbra, Portugal",2 years,4000 EUR / year
Law and Informatics,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Geosciences,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Electrical and Computer Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Conservation and Restoration,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Civil Engineering - Structures and Geotechnics,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Paleontology,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year
Aquaculture and Fisheries,University of Algarve,"Faro, Portugal",2 years,1100 EUR / year
European Master in Archaeological Materials Science (ARCHMAT),Sapienza University of Rome,Multiple locations,2 years,
Management of Healthcare Units,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year
Economics,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,2900 EUR / year
"Monetary, Banking and Financial Economics",University of Minho,"Braga, Portugal",1½ year,1250 EUR / year
"Governance, Leadership and Democracy Studies",Catholic University of Portugal,"Lisbon, Portugal",2 years,3225 EUR / year
Biotechnology,University of Algarve,"Faro, Portugal",2 years,1100 EUR / year
"Marine, Biodiversity, Fisheries and Conservation",University of Algarve,"Faro, Portugal",2 years,1100 EUR / year
Applied Mathematics and Computation,Instituto Superior Técnico,"Lisbon, Portugal",2 years,7000 EUR / year
Entrepreneurship and Innovation,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year
"Humanitarian Action, Cooperation, and Development (E-learning)",University Fernando Pessoa,"Porto, Portugal",1½ year,
Science and Technology for the Cultural Heritage,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year
Applied Biology,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
Medical Microbiology,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,2500 EUR / year
Data Science,University of Lisbon,"Lisbon, Portugal",2 years,1500 EUR / year
Applied Econometrics and Forecasting,University of Lisbon,"Lisbon, Portugal",2 years,3100 EUR / year
Hotel Management,University of Madeira,"Funchal, Portugal",2 years,3000 EUR / year
Preschool and Primary School Education,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
Biopharmaceutical Sciences,University of Lisbon,"Lisbon, Portugal",2 years,1500 EUR / year
Mathematical Finance,University of Lisbon,"Lisbon, Portugal",2 years,3750 EUR / year
Mathematics,University of Lisbon,"Lisbon, Portugal",2 years,980 EUR / year
Management and Industrial Strategy,University of Lisbon,"Lisbon, Portugal",2 years,4850 EUR / year
Dental Hygiene,University of Lisbon,"Lisbon, Portugal",2 years,2750 EUR / year
Resilience in Education,University of Lisbon,"Lisbon, Portugal",2 years,2400 EUR / year
Digital Transformation,Porto Business School,"Senhora da Hora, Portugal",1 year,7500 EUR / year
Innovative Approaches in Speech-Language and Hearing Sciences,Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year
International Cybersecurity and Cyberintelligence,University of Minho,"Braga, Portugal",2 years,4000 EUR / year
"Marine Living Resources - Science, Technology and Society",Universidade Nova de Lisboa,"Lisbon, Portugal",1½ year,1250 EUR / year
Accounting,University of Lisbon,"Lisbon, Portugal",1½ year,4850 EUR / year
"Data Science, Business Analytics and AI",Porto Business School,"Senhora da Hora, Portugal",1 year,7500 EUR / year
International Cybersecurity and Cyberintelligence,European Alliance - ARQUS,Multiple locations,2 years,4000 EUR / year
Chemical Engineering,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year
Energy Engineering and Management,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year
Molecular Science and Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year
Information Systems and Computer Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,7000 EUR / year
Finance,School of Economics and Management - University of Porto,"Porto, Portugal",2 years,1500 EUR / year
Management,School of Economics and Management - University of Porto,"Porto, Portugal",2 years,1500 EUR / year
International Business,Polytechnic of Leiria,"Leiria, Portugal",2 years,1140 EUR / year
Information Systems,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year
Political Economy,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,2500 EUR / year
Computer Science and Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Bioinformatics,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Health Sciences,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Molecular Genetics and Biomedicine,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year
Analysis and Engineering of Big Data,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,2000 EUR / year
"English Language, Literature and Culture",University of Minho,"Braga, Portugal",2 years,1250 EUR / year
"Intercultural Studies in Portuguese and Chinese - Translation, Education and Communication",University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Chemical Analysis and Characterisation Techniques,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Judiciary Law (Procedural Law and Judicial Organization),University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Industrial Engineering,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year
Quality in Analytical Laboratories,University of Algarve,"Faro, Portugal",2 years,4500 EUR / year
Applied Biochemistry,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Engineering and Quality Management,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year
Special Education,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Food Science and Technology,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Communication Sciences,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Product Engineering,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year
Human Engineering,University of Minho,"Guimarães, Portugal",3 years,1250 EUR / year
Chemistry,Universidade de Aveiro,"Aveiro, Portugal",2 years,1000 EUR / year
Mechanical Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Biomedical Engineering,Catholic University of Portugal,"Lisbon, Portugal",2 years,4590 EUR / year
Product Design,ESAD - College of Arts and Design,"Senhora da Hora, Portugal",2 years,5160 EUR / year
Territorial Management and Urban Studies,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1200 EUR / year
Aerospace Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Biomaterials and NanoMedicine,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year
International Studies,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,2500 EUR / year
Applied Ecohydrology,University of Algarve,"Faro, Portugal",2 years,6000 EUR / year
Marine and Coastal Systems,University of Algarve,"Faro, Portugal",2 years,1100 EUR / year
Actuarial Mathematics,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,2000 EUR / year
Communications Engineering and Data Science,University of Lisbon,"Lisbon, Portugal",2 years,8000 EUR / year
BIM A+ European Master in Building Information Modelling,University of Minho,"Guimarães, Portugal",10 months,1250 EUR / year
Hotel Management - Sales and Marketing (Evening Classes),Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year
"Psychology of Global Mobility, Inclusion and Diversity in Society",ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,4500 EUR / year
Sciences of Language,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Social Economics,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year
Environmental Management,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
Civil Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year
Economics,Catholic University of Portugal,"Lisbon, Portugal",1½ year,8600 EUR / year
Transportation Systems,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year
Materials Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year
Groundwater and Global Change,IHE Delft Institute for Water Education,Multiple locations,2 years,9000 EUR / year
Energy Resources Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year
"Architecture, Landscape and Archaeology",University of Coimbra,"Coimbra, Portugal",2 years,8000 EUR / year
Executive Master of Business Administration,Porto Business School,"Senhora da Hora, Portugal","1 year, 5 months",30 000 EUR / year
Digital Society,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Applied Microbiology,Catholic University of Portugal,"Lisbon, Portugal",2 years,4590 EUR / year
Industrial Engineering and Management,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Strategic Talent Management for the Next Era,Porto Business School,"Senhora da Hora, Portugal",½ year,9500 EUR / year
Economics,School of Economics and Management - University of Porto,"Porto, Portugal",2 years,1500 EUR / year
Product Design Engineering,Polytechnic of Leiria,"Leiria, Portugal",2 years,697 EUR / year
Informatics Engineering,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
Master's in Global Rule of Law and Democracy,EPLO/ European Law and Governance School (ELGS),"Cascais, Portugal",1 year,4900 EUR / year
Robotics and Systems of Intelligent Manufacturing,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Teaching Portuguese and Foreign Languages,University of Porto,"Porto, Portugal",2 years,697 EUR / year
Anglo-American Studies,University of Porto,"Porto, Portugal",2 years,1250 EUR / year
Mining Engineering,University of Lisbon,"Lisbon, Portugal",2 years,1063 EUR / year
Urban Engineering,University of Minho,"Braga, Portugal",2 years,1250 EUR / year
"Wine, Tourism and Innovation",University of Porto,"Porto, Portugal",2 years,1300 EUR / year
