Course,Institution,Link,GoogleMaps
Animação Turística,Instituto Politécnico de Leiria - Escola Superior de Turismo e Tecnologia do Mar,detcursopi.asp?codc=9848&code=3105,http://maps.google.pt/maps?z=20&t=k&q=loc:39.36472+-9.403056
Antropologia,ISCTE - Instituto Universitário de Lisboa,detcursopi.asp?codc=9448&code=6800,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74875+-9.153692
Antropologia,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9448&code=0501,http://maps.google.pt/maps?z=20&t=k&q=loc:40.18623+-8.412266
Antropologia,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,detcursopi.asp?codc=9448&code=1516,http://maps.google.pt/maps?z=20&t=k&q=loc:38.71306+-9.198223
Antropologia,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,detcursopi.asp?codc=9448&code=0902,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74025+-9.151129
Arqueologia,Universidade de Coimbra - Faculdade de Letras,detcursopi.asp?codc=9006&code=0505,http://maps.google.pt/maps?z=20&t=k&q=loc:40.20647+-8.428684
Arqueologia,Universidade de Lisboa - Faculdade de Letras,detcursopi.asp?codc=9006&code=1506,http://maps.google.pt/maps?z=20&t=k&q=loc:38.75359+-9.157651
Arqueologia,Universidade do Minho,detcursopi.asp?codc=9006&code=1000,http://maps.google.pt/maps?z=20&t=k&q=loc:41.33284+-8.253481
Arqueologia,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,detcursopi.asp?codc=9006&code=0902,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74025+-9.151129
Arqueologia,Universidade do Porto - Faculdade de Letras,detcursopi.asp?codc=9006&code=1107,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15155+-8.63262
Arquitetura,ISCTE - Instituto Universitário de Lisboa,detcursopi.asp?codc=9257&code=6800,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74875+-9.153692
Arquitetura,Universidade da Beira Interior,detcursopi.asp?codc=9257&code=0400,http://maps.google.pt/maps?z=20&t=k&q=loc:40.27736+-7.508574
Arquitetura,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9257&code=0501,http://maps.google.pt/maps?z=20&t=k&q=loc:40.18623+-8.412266
Arquitetura,Universidade de Évora - Escola de Artes,detcursopi.asp?codc=9257&code=0603,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56902+-7.911873
Arquitetura,Universidade de Lisboa - Faculdade de Arquitetura,detcursopi.asp?codc=9257&code=1501,http://maps.google.pt/maps?z=20&t=k&q=loc:38.71291+-9.193281
Arquitetura,Universidade de Lisboa - Instituto Superior Técnico,detcursopi.asp?codc=9257&code=1518,http://maps.google.pt/maps?z=20&t=k&q=loc:38.73688+-9.13691
Arquitetura,Universidade do Minho,detcursopi.asp?codc=9257&code=1000,http://maps.google.pt/maps?z=20&t=k&q=loc:41.33284+-8.253481
Arquitetura,Universidade do Porto - Faculdade de Arquitetura,detcursopi.asp?codc=9257&code=1102,http://maps.google.pt/maps?z=20&t=k&q=loc:41.14992+-8.63601
Arquitetura,Escola Superior Artística do Porto,detcursopi.asp?codc=9257&code=4010,
Arquitetura,Instituto Superior Manuel Teixeira Gomes,detcursopi.asp?codc=9257&code=4375,http://maps.google.pt/maps?z=20&t=k&q=loc:37.14078+-8.535942
Arquitetura,Universidade Autónoma de Lisboa Luís de Camões,detcursopi.asp?codc=9257&code=2100,http://maps.google.pt/maps?z=20&t=k&q=loc:38.72433+-9.14589
Arquitetura,Universidade Fernando Pessoa,detcursopi.asp?codc=9257&code=2750,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17292+-8.611185
Arquitetura,Universidade Lusíada - Centro Universitário Lusíada - Lisboa,detcursopi.asp?codc=9257&code=2410,http://maps.google.pt/maps?z=20&t=k&q=loc:38.69799+-9.192036
Arquitetura,Universidade Lusíada - Centro Universitário Lusíada - Norte - Porto,detcursopi.asp?codc=9257&code=2440,http://maps.google.pt/maps?z=20&t=k&q=loc:41.1687+-8.661802
Arquitetura,Universidade Lusíada - Centro Universitário Lusíada - Norte - Vila Nova de Famalicão,detcursopi.asp?codc=9257&code=2450,http://maps.google.pt/maps?z=20&t=k&q=loc:41.41021+-8.522896
Arquitetura Paisagista,Universidade do Algarve - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=8258&code=0203,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
Arquitetura Paisagista,Universidade de Lisboa - Instituto Superior de Agronomia,detcursopi.asp?codc=8258&code=1515,http://maps.google.pt/maps?z=20&t=k&q=loc:38.70623+-9.182634
Arquitetura Paisagista,Universidade do Porto - Faculdade de Ciências,detcursopi.asp?codc=8258&code=1103,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15242+-8.637816
Arquitetura e Urbanismo,Universidade Portucalense Infante D. Henrique,detcursopi.asp?codc=9507&code=2500,http://maps.google.pt/maps?z=20&t=k&q=loc:41.18032+-8.605047
Arte - Conservação e Restauro,Universidade Católica Portuguesa - Escola das Artes,detcursopi.asp?codc=9551&code=2265,
Arte e Design,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,detcursopi.asp?codc=9898&code=3042,http://maps.google.pt/maps?z=20&t=k&q=loc:41.7977+-6.7672
Arte e Design,Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra,detcursopi.asp?codc=9898&code=3062,http://maps.google.pt/maps?z=20&t=k&q=loc:40.20522+-8.405957
Arte Multimédia,Universidade de Lisboa - Faculdade de Belas-Artes,detcursopi.asp?codc=9904&code=1502,http://maps.google.pt/maps?z=20&t=k&q=loc:38.70903+-9.156942
Arte Multimédia,Universidade da Maia,detcursopi.asp?codc=9904&code=4630,http://maps.google.pt/maps?z=20&t=k&q=loc:41.26779+-8.617047
Artes e Cinema Digital,Instituto Politécnico de Viana do Castelo - Escola Superior de Educação,detcursopi.asp?codc=L284&code=3162,http://maps.google.pt/maps?z=20&t=k&q=loc:41.70303+-8.820739
Artes e Comunicação Multimédia,Universidade Lusíada - Centro Universitário Lusíada - Lisboa,detcursopi.asp?codc=L374&code=2410,http://maps.google.pt/maps?z=20&t=k&q=loc:38.69799+-9.192036
Artes Digitais e Multimédia,Escola Superior de Artes e Design,detcursopi.asp?codc=L170&code=4069,http://maps.google.pt/maps?z=20&t=k&q=loc:41.18464+-8.662266
Artes e Humanidades,Universidade de Lisboa - Faculdade de Letras,detcursopi.asp?codc=8413&code=1506,http://maps.google.pt/maps?z=20&t=k&q=loc:38.75359+-9.157651
Artes Performativas,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,detcursopi.asp?codc=9681&code=3181,http://maps.google.pt/maps?z=20&t=k&q=loc:40.66005+-7.913927
Artes Plásticas,Universidade do Porto - Faculdade de Belas-Artes,detcursopi.asp?codc=9007&code=5402,http://maps.google.pt/maps?z=20&t=k&q=loc:41.14566+-8.600771
Artes Plásticas,Instituto Politécnico de Leiria - Escola Superior de Artes e Design,detcursopi.asp?codc=9007&code=3103,http://maps.google.pt/maps?z=20&t=k&q=loc:39.39528+-9.135278
Artes Plásticas e Intermédia,Escola Superior Artística do Porto,detcursopi.asp?codc=9682&code=4010,
Artes Plásticas e Multimédia,Universidade de Évora - Escola de Artes,detcursopi.asp?codc=9347&code=0603,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56902+-7.911873
Artes Plásticas e Multimédia,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,detcursopi.asp?codc=9347&code=3181,http://maps.google.pt/maps?z=20&t=k&q=loc:40.66005+-7.913927
Artes Plásticas e Tecnologias Artísticas,Instituto Politécnico de Viana do Castelo - Escola Superior de Educação,detcursopi.asp?codc=L122&code=3162,http://maps.google.pt/maps?z=20&t=k&q=loc:41.70303+-8.820739
Artes Visuais,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,detcursopi.asp?codc=9817&code=0201,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
Artes Visuais,Universidade da Madeira - Faculdade de Artes e Humanidades,detcursopi.asp?codc=9817&code=1306,http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251
